id,province,provinceEn,district,districtEn,subdistrict,subdistrictEn,postalCode,provinceSlug,districtSlug,subdistrictSlug
110,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,Bangkok Noi,อรุณอมรินทร์,Arun Ammarin,10700,bangkok,bangkok-noi,arun-ammarin
111,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,Bangkok Yai,วัดท่าพระ,Wat Tha Phra,10600,bangkok,bangkok-yai,wat-tha-phra
112,กรุงเทพมหานคร,Bangkok,บางกอกใหญ่,Bangkok Yai,วัดอรุณ,Wat Arun,10600,bangkok,bangkok-yai,wat-arun
113,กรุงเทพมหานคร,Bangkok,บางกะปิ,Bang Kapi,คลองจั่น,Khlong Chan,10240,bangkok,bang-kapi,khlong-chan
114,กรุงเทพมหานคร,Bangkok,บางกะปิ,Bang Kapi,หัวหมาก,Hua Mak,10240,bangkok,bang-kapi,hua-mak
115,กรุงเทพมหานคร,Bangkok,บางกะปิ,Bang Kapi,หัวหมาก,Hua Mak,10250,bangkok,bang-kapi,hua-mak
116,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,Bang Khun Thian,ท่าข้าม,Tha Kham,10150,bangkok,bang-khun-thian,tha-kham
117,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,Bang Khun Thian,แสมดำ,Samae Dam,10150,bangkok,bang-khun-thian,samae-dam
118,กรุงเทพมหานคร,Bangkok,บางเขน,Bang Khen,ท่าแร้ง,Tha Raeng,10220,bangkok,bang-khen,tha-raeng
119,กรุงเทพมหานคร,Bangkok,บางเขน,Bang Khen,ท่าแร้ง,Tha Raeng,10230,bangkok,bang-khen,tha-raeng
120,กรุงเทพมหานคร,Bangkok,บางเขน,Bang Khen,อนุสาวรีย์,Anusawari,10220,bangkok,bang-khen,anusawari
121,กรุงเทพมหานคร,Bangkok,บางคอแหลม,Bang Kho Laem,บางคอแหลม,Bang Kho Laem,10120,bangkok,bang-kho-laem,bang-kho-laem
122,กรุงเทพมหานคร,Bangkok,บางคอแหลม,Bang Kho Laem,บางโคล่,Bang Khlo,10120,bangkok,bang-kho-laem,bang-khlo
123,กรุงเทพมหานคร,Bangkok,บางคอแหลม,Bang Kho Laem,วัดพระยาไกร,Wat Phraya Krai,10120,bangkok,bang-kho-laem,wat-phraya-krai
124,กรุงเทพมหานคร,Bangkok,บางแค,Bang Khae,บางแค,Bang Khae,10160,bangkok,bang-khae,bang-khae
125,กรุงเทพมหานคร,Bangkok,บางแค,Bang Khae,บางแคเหนือ,Bang Khae Nuea,10160,bangkok,bang-khae,bang-khae-nuea
126,กรุงเทพมหานคร,Bangkok,บางแค,Bang Khae,บางไผ่,Bang Phai,10160,bangkok,bang-khae,bang-phai
127,กรุงเทพมหานคร,Bangkok,บางแค,Bang Khae,หลักสอง,Lak Song,10160,bangkok,bang-khae,lak-song
128,กรุงเทพมหานคร,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,Bang Sue,10800,bangkok,bang-sue,bang-sue
129,กรุงเทพมหานคร,Bangkok,บางซื่อ,Bang Sue,วงศ์สว่าง,Wong Sawang,10800,bangkok,bang-sue,wong-sawang
130,กรุงเทพมหานคร,Bangkok,บางนา,Bang Na,บางนาใต้,Bang Na Tai,10260,bangkok,bang-na,bang-na-tai
131,กรุงเทพมหานคร,Bangkok,บางนา,Bang Na,บางนาเหนือ,Bang Na Nuea,10260,bangkok,bang-na,bang-na-nuea
132,กรุงเทพมหานคร,Bangkok,บางบอน,Bang Bon,คลองบางบอน,Khlong Bang Bon,10150,bangkok,bang-bon,khlong-bang-bon
133,กรุงเทพมหานคร,Bangkok,บางบอน,Bang Bon,คลองบางพราน,Khlong Bang Phran,10150,bangkok,bang-bon,khlong-bang-phran
134,กรุงเทพมหานคร,Bangkok,บางบอน,Bang Bon,บางบอนใต้,Bang Bon Tai,10150,bangkok,bang-bon,bang-bon-tai
135,กรุงเทพมหานคร,Bangkok,บางบอน,Bang Bon,บางบอนเหนือ,Bang Bon Nuea,10150,bangkok,bang-bon,bang-bon-nuea
136,กรุงเทพมหานคร,Bangkok,บางพลัด,Bang Phlat,บางบำหรุ,Bang Bamru,10700,bangkok,bang-phlat,bang-bamru
137,กรุงเทพมหานคร,Bangkok,บางพลัด,Bang Phlat,บางพลัด,Bang Phlat,10700,bangkok,bang-phlat,bang-phlat
138,กรุงเทพมหานคร,Bangkok,บางพลัด,Bang Phlat,บางยี่ขัน,Bang Yi Khan,10700,bangkok,bang-phlat,bang-yi-khan
139,กรุงเทพมหานคร,Bangkok,บางพลัด,Bang Phlat,บางอ้อ,Bang O,10700,bangkok,bang-phlat,bang-o
140,กรุงเทพมหานคร,Bangkok,บางรัก,Bang Rak,บางรัก,Bang Rak,10500,bangkok,bang-rak,bang-rak
141,กรุงเทพมหานคร,Bangkok,บางรัก,Bang Rak,มหาพฤฒาราม,Maha Phruettharam,10500,bangkok,bang-rak,maha-phruettharam
142,กรุงเทพมหานคร,Bangkok,บางรัก,Bang Rak,สี่พระยา,Si Phraya,10500,bangkok,bang-rak,si-phraya
143,กรุงเทพมหานคร,Bangkok,บางรัก,Bang Rak,สีลม,Si Lom,10500,bangkok,bang-rak,si-lom
144,กรุงเทพมหานคร,Bangkok,บางรัก,Bang Rak,สุริยวงศ์,Suriyawong,10500,bangkok,bang-rak,suriyawong
145,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,Bueng Kum,คลองกุ่ม,Khlong Kum,10230,bangkok,bueng-kum,khlong-kum
146,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,Bueng Kum,คลองกุ่ม,Khlong Kum,10240,bangkok,bueng-kum,khlong-kum
147,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,Bueng Kum,นวมินทร์,Nawamin,10240,bangkok,bueng-kum,nawamin
148,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,Bueng Kum,นวลจันทร์,Nuan Chan,10230,bangkok,bueng-kum,nuan-chan
149,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,ปทุมวัน,Pathum Wan,10330,bangkok,pathum-wan,pathum-wan
150,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,รองเมือง,Rong Mueang,10330,bangkok,pathum-wan,rong-mueang
151,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,Lumphini,10330,bangkok,pathum-wan,lumphini
152,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,Wang Mai,10110,bangkok,pathum-wan,wang-mai
153,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,Wang Mai,10120,bangkok,pathum-wan,wang-mai
154,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,Wang Mai,10330,bangkok,pathum-wan,wang-mai
155,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,Wang Mai,10400,bangkok,pathum-wan,wang-mai
156,กรุงเทพมหานคร,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,Wang Mai,10500,bangkok,pathum-wan,wang-mai
157,กรุงเทพมหานคร,Bangkok,ประเวศ,Prawet,ดอกไม้,Dok Mai,10250,bangkok,prawet,dok-mai
158,กรุงเทพมหานคร,Bangkok,ประเวศ,Prawet,ประเวศ,Prawet,10250,bangkok,prawet,prawet
159,กรุงเทพมหานคร,Bangkok,ประเวศ,Prawet,หนองบอน,Nong Bon,10250,bangkok,prawet,nong-bon
160,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,คลองมหานาค,Khlong Maha Nak,10100,bangkok,pom-prap-sattru-phai,khlong-maha-nak
161,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,บ้านบาตร,Ban Bat,10100,bangkok,pom-prap-sattru-phai,ban-bat
162,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,ป้อมปราบ,Pom Prap,10100,bangkok,pom-prap-sattru-phai,pom-prap
163,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,วัดเทพศิรินทร์,Wat Thep Sirin,10100,bangkok,pom-prap-sattru-phai,wat-thep-sirin
164,กรุงเทพมหานคร,Bangkok,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,วัดโสมนัส,Wat Sommanat,10100,bangkok,pom-prap-sattru-phai,wat-sommanat
165,กรุงเทพมหานคร,Bangkok,พญาไท,Phaya Thai,พญาไท,Phaya Thai,10400,bangkok,phaya-thai,phaya-thai
166,กรุงเทพมหานคร,Bangkok,พญาไท,Phaya Thai,สามเสนใน,Sam Sen Nai,10400,bangkok,phaya-thai,sam-sen-nai
167,กรุงเทพมหานคร,Bangkok,พระโขนง,Phra Khanong,บางจาก,Bang Chak,10260,bangkok,phra-khanong,bang-chak
168,กรุงเทพมหานคร,Bangkok,พระโขนง,Phra Khanong,พระโขนงใต้,Phra Khanong Tai,10260,bangkok,phra-khanong,phra-khanong-tai
169,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,ชนะสงคราม,Chana Songkhram,10200,bangkok,phra-nakhon,chana-songkhram
170,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,ตลาดยอด,Talat Yot,10200,bangkok,phra-nakhon,talat-yot
171,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,บวรนิเวศ,Bowon Niwet,10200,bangkok,phra-nakhon,bowon-niwet
172,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,บางขุนพรหม,Bang Khun Phrom,10200,bangkok,phra-nakhon,bang-khun-phrom
173,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,บ้านพานถม,Ban Phan Thom,10200,bangkok,phra-nakhon,ban-phan-thom
174,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,10200,bangkok,phra-nakhon,phra-borom-maha-ratchawang
175,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,วังบูรพาภิรมย์,Wang Burapha Phirom,10200,bangkok,phra-nakhon,wang-burapha-phirom
176,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,วัดราชบพิธ,Wat Ratchabophit,10200,bangkok,phra-nakhon,wat-ratchabophit
177,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,วัดสามพระยา,Wat Sam Phraya,10200,bangkok,phra-nakhon,wat-sam-phraya
178,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,10200,bangkok,phra-nakhon,san-chao-pho-suea
179,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,สำราญราษฎร์,Samran Rat,10200,bangkok,phra-nakhon,samran-rat
180,กรุงเทพมหานคร,Bangkok,พระนคร,Phra Nakhon,เสาชิงช้า,Sao Chingcha,10200,bangkok,phra-nakhon,sao-chingcha
181,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,Phasi Charoen,คลองขวาง,Khlong Khwang,10160,bangkok,phasi-charoen,khlong-khwang
182,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,Phasi Charoen,คูหาสวรรค์,Khuha Sawan,10160,bangkok,phasi-charoen,khuha-sawan
183,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,Phasi Charoen,บางจาก,Bang Chak,10160,bangkok,phasi-charoen,bang-chak
184,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,Phasi Charoen,บางด้วน,Bang Duan,10160,bangkok,phasi-charoen,bang-duan
