id	districtId	name	nameEn	slug
6969	874	ทมนางาม	Thom Na Ngam	thom-na-ngam
6970	874	โนนสะอาด	Non Sa-at	non-sa-at
6971	874	บุ่งแก้ว	Bung Kaeo	bung-kaeo
6972	874	โพธิ์ศรีสำราญ	Pho Si Samran	pho-si-samran
6973	874	หนองกุงศรี	Nong Kung Si	nong-kung-si
6974	875	ดงเย็น	Dong Yen	dong-yen
6975	875	ถ่อนนาลับ	Thon Na Lap	thon-na-lap
6976	875	นาคำ	Na Kham	na-kham
6977	875	นาไหม	Na Mai	na-mai
6978	875	บ้านจันทน์	Ban Chan	ban-chan
6979	875	บ้านชัย	Ban Chai	ban-chai
6980	875	บ้านดุง	Ban Dung	ban-dung
6981	875	บ้านตาด	Ban Tat	ban-tat
6982	875	บ้านม่วง	Ban Muang	ban-muang
6983	875	โพนสูง	Phon Sung	phon-sung
6984	875	วังทอง	Wang Thong	wang-thong
6985	875	ศรีสุทโธ	Si Suttho	si-suttho
6986	875	อ้อมกอ	Om Ko	om-ko
6987	876	กลางใหญ่	Klang Yai	klang-yai
6988	876	ข้าวสาร	Khao San	khao-san
6989	876	เขือน้ำ	Khuea Nam	khuea-nam
6990	876	คำด้วง	Kham Duang	kham-duang
6991	876	คำบง	Kham Bong	kham-bong
6992	876	จำปาโมง	Champa Mong	champa-mong
6993	876	โนนทอง	Non Thong	non-thong
6994	876	บ้านค้อ	Ban Kho	ban-kho
6995	876	บ้านผือ	Ban Phue	ban-phue
6996	876	เมืองพาน	Mueang Phan	mueang-phan
6997	876	หนองแวง	Nong Waeng	nong-waeng
6998	876	หนองหัวคู	Nong Hua Khu	nong-hua-khu
6999	876	หายโศก	Hai Sok	hai-sok
7000	877	นาม่วง	Na Muang	na-muang
7001	877	ห้วยสามพาด	Huai Sam Phat	huai-sam-phat
7002	877	อุ่มจาน	Um Chan	um-chan
7003	878	ดอนกลอย	Don Kloi	don-kloi
7004	878	นาทราย	Na Sai	na-sai
7005	878	บ้านแดง	Ban Daeng	ban-daeng
7006	879	โคกกลาง	Khok Klang	khok-klang
7007	879	จอมศรี	Chom Si	chom-si
7008	879	เชียงหวาง	Chiang Wang	chiang-wang
7009	879	เตาไห	Tao Hai	tao-hai
7010	879	นาบัว	Na Bua	na-bua
7011	879	นาพู่	Na Phu	na-phu
7012	879	บ้านธาตุ	Ban That	ban-that
7013	879	บ้านเหล่า	Ban Lao	ban-lao
7014	879	เพ็ญ	Phen	phen
7015	879	สร้างแป้น	Sang Paen	sang-paen
7016	879	สุมเส้า	Sum Sao	sum-sao
7017	880	กุดสระ	Kut Sa	kut-sa
7018	880	โคกสะอาด	Khok Sa-at	khok-sa-at
7019	880	เชียงพิณ	Chiang Phin	chiang-phin
7020	880	เชียงยืน	Chiang Yuen	chiang-yuen
7021	880	นากว้าง	Na Kwang	na-kwang
7022	880	นาข่า	Na Kha	na-kha
7023	880	นาดี	Na Di	na-di
7024	880	นิคมสงเคราะห์	Nikhom Songkhro	nikhom-songkhro
7025	880	โนนสูง	Non Sung	non-sung
7026	880	บ้านขาว	Ban Khao	ban-khao
7027	880	บ้านจั่น	Ban Chan	ban-chan
7028	880	บ้านตาด	Ban Tat	ban-tat
7029	880	บ้านเลื่อม	Ban Lueam	ban-lueam
7030	880	สามพร้าว	Sam Phrao	sam-phrao
7031	880	หนองขอนกว้าง	Nong Khon Kwang	nong-khon-kwang
7032	880	หนองนาคำ	Nong Na Kham	nong-na-kham
7033	880	หนองบัว	Nong Bua	nong-bua
7034	880	หนองไผ่	Nong Phai	nong-phai
7035	880	หนองไฮ	Nong Hai	nong-hai
7036	880	หมากแข้ง	Mak Khaeng	mak-khaeng
7037	880	หมูม่น	Mu Mon	mu-mon
7038	881	คำโคกสูง	Kham Khok Sung	kham-khok-sung
7039	881	บะยาว	Ba Yao	ba-yao
7040	881	ผาสุก	Phasuk	phasuk
7041	881	วังสามหมอ	Wang Sam Mo	wang-sam-mo
7042	881	หนองกุงทับม้า	Nong Kung Thap Ma	nong-kung-thap-ma
7043	881	หนองหญ้าไซ	Nong Ya Sai	nong-ya-sai
7044	882	จำปี	Champi	champi
7045	882	ตาดทอง	Tat Thong	tat-thong
7046	882	นายูง	Na Yung	na-yung
7047	882	บ้านโปร่ง	Ban Prong	ban-prong
7048	882	ศรีธาตุ	Si That	si-that
7049	882	หนองนกเขียน	Nong Nok Khian	nong-nok-khian
7050	882	หัวนาคำ	Hua Na Kham	hua-na-kham
7051	883	เชียงดา	Chiang Da	chiang-da
7052	883	นาสะอาด	Na Sa-at	na-sa-at
7053	883	บ้านโคก	Ban Khok	ban-khok
7054	883	บ้านยวด	Ban Yuat	ban-yuat
7055	883	บ้านหินโงม	Bang Hin Ngom	bang-hin-ngom
7056	883	สร้างคอม	Sang Khom	sang-khom
7057	884	กุดหมากไฟ	Kut Mak Fai	kut-mak-fai
