id,provinceId,name,slug
367,25,แว้ง,แว้ง
368,25,ศรีสาคร,ศรีสาคร
369,25,สุคิริน,สุคิริน
370,25,สุไหงโก-ลก,สุไหงโก-ลก
371,25,สุไหงปาดี,สุไหงปาดี
372,26,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ
373,26,เชียงกลาง,เชียงกลาง
374,26,ท่าวังผา,ท่าวังผา
375,26,ทุ่งช้าง,ทุ่งช้าง
376,26,นาน้อย,นาน้อย
377,26,นาหมื่น,นาหมื่น
378,26,บ่อเกลือ,บ่อเกลือ
379,26,บ้านหลวง,บ้านหลวง
380,26,ปัว,ปัว
381,26,ภูเพียง,ภูเพียง
382,26,เมืองน่าน,เมืองน่าน
383,26,แม่จริม,แม่จริม
384,26,เวียงสา,เวียงสา
385,26,สองแคว,สองแคว
386,26,สันติสุข,สันติสุข
387,27,เซกา,เซกา
388,27,โซ่พิสัย,โซ่พิสัย
389,27,บึงโขงหลง,บึงโขงหลง
390,27,บุ่งคล้า,บุ่งคล้า
391,27,ปากคาด,ปากคาด
392,27,พรเจริญ,พรเจริญ
393,27,เมืองบึงกาฬ,เมืองบึงกาฬ
394,27,ศรีวิไล,ศรีวิไล
395,28,กระสัง,กระสัง
396,28,คูเมือง,คูเมือง
397,28,แคนดง,แคนดง
398,28,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ
399,28,ชำนิ,ชำนิ
400,28,นางรอง,นางรอง
401,28,นาโพธิ์,นาโพธิ์
402,28,โนนดินแดง,โนนดินแดง
403,28,โนนสุวรรณ,โนนสุวรรณ
404,28,บ้านกรวด,บ้านกรวด
405,28,บ้านด่าน,บ้านด่าน
406,28,บ้านใหม่ไชยพจน์,บ้านใหม่ไชยพจน์
407,28,ประโคนชัย,ประโคนชัย
408,28,ปะคำ,ปะคำ
409,28,พลับพลาชัย,พลับพลาชัย
410,28,พุทไธสง,พุทไธสง
411,28,เมืองบุรีรัมย์,เมืองบุรีรัมย์
412,28,ละหานทราย,ละหานทราย
413,28,ลำปลายมาศ,ลำปลายมาศ
414,28,สตึก,สตึก
415,28,หนองกี่,หนองกี่
416,28,หนองหงส์,หนองหงส์
417,28,ห้วยราช,ห้วยราช
418,29,คลองหลวง,คลองหลวง
419,29,ธัญบุรี,ธัญบุรี
420,29,เมืองปทุมธานี,เมืองปทุมธานี
421,29,ลาดหลุมแก้ว,ลาดหลุมแก้ว
422,29,ลำลูกกา,ลำลูกกา
423,29,สามโคก,สามโคก
424,29,หนองเสือ,หนองเสือ
425,30,กุยบุรี,กุยบุรี
426,30,ทับสะแก,ทับสะแก
427,30,บางสะพาน,บางสะพาน
428,30,บางสะพานน้อย,บางสะพานน้อย
429,30,ปราณบุรี,ปราณบุรี
430,30,เมืองประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์
431,30,สามร้อยยอด,สามร้อยยอด
432,30,หัวหิน,หัวหิน
433,31,กบินทร์บุรี,กบินทร์บุรี
434,31,นาดี,นาดี
435,31,บ้านสร้าง,บ้านสร้าง
436,31,ประจันตคาม,ประจันตคาม
437,31,เมืองปราจีนบุรี,เมืองปราจีนบุรี
438,31,ศรีมหาโพธิ,ศรีมหาโพธิ
439,31,ศรีมโหสถ,ศรีมโหสถ
440,32,กะพ้อ,กะพ้อ
441,32,โคกโพธิ์,โคกโพธิ์
442,32,ทุ่งยางแดง,ทุ่งยางแดง
443,32,ปะนาเระ,ปะนาเระ
444,32,มายอ,มายอ
445,32,เมืองปัตตานี,เมืองปัตตานี
446,32,แม่ลาน,แม่ลาน
447,32,ไม้แก่น,ไม้แก่น
448,32,ยะรัง,ยะรัง
449,32,ยะหริ่ง,ยะหริ่ง
450,32,สายบุรี,สายบุรี
451,32,หนองจิก,หนองจิก
452,33,ท่าเรือ,ท่าเรือ
453,33,นครหลวง,นครหลวง
454,33,บางซ้าย,บางซ้าย
455,33,บางไทร,บางไทร
456,33,บางบาล,บางบาล
457,33,บางปะหัน,บางปะหัน
458,33,บางปะอิน,บางปะอิน
459,33,บ้านแพรก,บ้านแพรก
460,33,ผักไห่,ผักไห่
461,33,พระนครศรีอยุธยา,พระนครศรีอยุธยา
462,33,ภาชี,ภาชี
463,33,มหาราช,มหาราช
464,33,ลาดบัวหลวง,ลาดบัวหลวง
465,33,วังน้อย,วังน้อย
466,33,เสนา,เสนา
467,33,อุทัย,อุทัย
468,34,จุน,จุน
469,34,เชียงคำ,เชียงคำ
470,34,เชียงม่วน,เชียงม่วน
471,34,ดอกคำใต้,ดอกคำใต้
472,34,ปง,ปง
473,34,ภูกามยาว,ภูกามยาว
474,34,ภูซาง,ภูซาง
475,34,เมืองพะเยา,เมืองพะเยา
476,34,แม่ใจ,แม่ใจ
477,35,กะปง,กะปง
478,35,เกาะยาว,เกาะยาว
479,35,คุระบุรี,คุระบุรี
480,35,ตะกั่วทุ่ง,ตะกั่วทุ่ง
481,35,ตะกั่วป่า,ตะกั่วป่า
482,35,ทับปุด,ทับปุด
483,35,ท้ายเหมือง,ท้ายเหมือง
484,35,เมืองพังงา,เมืองพังงา
485,36,กงหรา,กงหรา
486,36,เขาชัยสน,เขาชัยสน
487,36,ควนขนุน,ควนขนุน
488,36,ตะโหมด,ตะโหมด
489,36,บางแก้ว,บางแก้ว
490,36,ปากพะยูน,ปากพะยูน
491,36,ป่าบอน,ป่าบอน
492,36,ป่าพะยอม,ป่าพะยอม
493,36,เมืองพัทลุง,เมืองพัทลุง
494,36,ศรีนครินทร์,ศรีนครินทร์
495,36,ศรีบรรพต,ศรีบรรพต
496,37,ดงเจริญ,ดงเจริญ
497,37,ตะพานหิน,ตะพานหิน
498,37,ทับคล้อ,ทับคล้อ
499,37,บางมูลนาก,บางมูลนาก
500,37,บึงนาราง,บึงนาราง
501,37,โพทะเล,โพทะเล
502,37,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง
503,37,เมืองพิจิตร,เมืองพิจิตร
504,37,วชิรบารมี,วชิรบารมี
505,37,วังทรายพูน,วังทรายพูน
506,37,สากเหล็ก,สากเหล็ก
507,37,สามง่าม,สามง่าม
508,38,ชาติตระการ,ชาติตระการ
509,38,นครไทย,นครไทย
510,38,เนินมะปราง,เนินมะปราง
