id,districtId,name,slug
433,85,นามะเขือ,นามะเขือ
434,85,นิคม,นิคม
435,85,โนนน้ำเกลี้ยง,โนนน้ำเกลี้ยง
436,85,โนนบุรี,โนนบุรี
437,85,โนนศิลา,โนนศิลา
438,85,โนนแหลมทอง,โนนแหลมทอง
439,85,ภูสิงห์,ภูสิงห์
440,85,สหัสขันธ์,สหัสขันธ์
441,86,คำสร้างเที่ยง,คำสร้างเที่ยง
442,86,สำราญ,สำราญ
443,86,สำราญใต้,สำราญใต้
444,86,หนองช้าง,หนองช้าง
445,87,โคกเครือ,โคกเครือ
446,87,ดงมูล,ดงมูล
447,87,ลำหนองแสน,ลำหนองแสน
448,87,เสาเล้า,เสาเล้า
449,87,หนองกุงศรี,หนองกุงศรี
450,87,หนองบัว,หนองบัว
451,87,หนองสรวง,หนองสรวง
452,87,หนองหิน,หนองหิน
453,87,หนองใหญ่,หนองใหญ่
454,88,คำบง,คำบง
455,88,ไค้นุ่น,ไค้นุ่น
456,88,นิคมห้วยผึ้ง,นิคมห้วยผึ้ง
457,88,หนองอีบุตร,หนองอีบุตร
458,89,กุดโดน,กุดโดน
459,89,คำเหมือดแก้ว,คำเหมือดแก้ว
460,89,คำใหญ่,คำใหญ่
461,89,ทรายทอง,ทรายทอง
462,89,โนนสะอาด,โนนสะอาด
463,89,บึงนาเรียง,บึงนาเรียง
464,89,พิมูล,พิมูล
465,89,ห้วยเม็ก,ห้วยเม็ก
466,89,หัวหิน,หัวหิน
467,90,โกสัมพี,โกสัมพี
468,90,เพชรชมภู,เพชรชมภู
469,90,ลานดอกไม้ตก,ลานดอกไม้ตก
470,91,เกาะตาล,เกาะตาล
471,91,โค้งไผ่,โค้งไผ่
472,91,ดอนแตง,ดอนแตง
473,91,บ่อถ้ำ,บ่อถ้ำ
474,91,ปางมะค่า,ปางมะค่า
475,91,ป่าพุทรา,ป่าพุทรา
476,91,ยางสูง,ยางสูง
477,91,วังชะพลู,วังชะพลู
478,91,วังหามแห,วังหามแห
479,91,สลกบาตร,สลกบาตร
480,91,แสนตอ,แสนตอ
481,92,คลองขลุง,คลองขลุง
482,92,คลองสมบูรณ์,คลองสมบูรณ์
483,92,ท่าพุทรา,ท่าพุทรา
484,92,ท่ามะเขือ,ท่ามะเขือ
485,92,แม่ลาด,แม่ลาด
486,92,วังแขม,วังแขม
487,92,วังไทร,วังไทร
488,92,วังบัว,วังบัว
489,92,วังยาง,วังยาง
490,92,หัวถนน,หัวถนน
491,93,คลองน้ำไหล,คลองน้ำไหล
492,93,คลองลานพัฒนา,คลองลานพัฒนา
493,93,โป่งน้ำร้อน,โป่งน้ำร้อน
494,93,สักงาม,สักงาม
495,94,ถาวรวัฒนา,ถาวรวัฒนา
496,94,ทุ่งทราย,ทุ่งทราย
497,94,ทุ่งทอง,ทุ่งทอง
498,95,ไทรงาม,ไทรงาม
499,95,พานทอง,พานทอง
500,95,มหาชัย,มหาชัย
501,95,หนองคล้า,หนองคล้า
502,95,หนองทอง,หนองทอง
503,95,หนองแม่แตง,หนองแม่แตง
504,95,หนองไม้กอง,หนองไม้กอง
505,96,เทพนิมิต,เทพนิมิต
506,96,บึงสามัคคี,บึงสามัคคี
507,96,ระหาน,ระหาน
508,96,วังชะโอน,วังชะโอน
509,97,ปางตาไว,ปางตาไว
510,97,โพธิ์ทอง,โพธิ์ทอง
511,97,หินดาต,หินดาต
512,98,เขาคีริส,เขาคีริส
513,98,คลองพิไกร,คลองพิไกร
514,98,คุยบ้านโอง,คุยบ้านโอง
515,98,ถ้ำกระต่ายทอง,ถ้ำกระต่ายทอง
516,98,ท่าไม้,ท่าไม้
517,98,พรานกระต่าย,พรานกระต่าย
518,98,วังควง,วังควง
519,98,วังตะแบก,วังตะแบก
520,98,หนองหัววัว,หนองหัววัว
521,98,ห้วยยั้ง,ห้วยยั้ง
522,99,คณฑี,คณฑี
523,99,คลองแม่ลาย,คลองแม่ลาย
524,99,ไตรตรึงษ์,ไตรตรึงษ์
525,99,ทรงธรรม,ทรงธรรม
526,99,ท่าขุนราม,ท่าขุนราม
527,99,เทพนคร,เทพนคร
528,99,ธำมรงค์,ธำมรงค์
529,99,นครชุม,นครชุม
530,99,นาบ่อคำ,นาบ่อคำ
531,99,นิคมทุ่งโพธิ์ทะเล,นิคมทุ่งโพธิ์ทะเล
532,99,ในเมือง,ในเมือง
533,99,ลานดอกไม้,ลานดอกไม้
534,99,วังทอง,วังทอง
535,99,สระแก้ว,สระแก้ว
536,99,หนองปลิง,หนองปลิง
537,99,อ่างทอง,อ่างทอง
538,100,จันทิมา,จันทิมา
539,100,ช่องลม,ช่องลม
540,100,โนนพลวง,โนนพลวง
541,100,บึงทับแรต,บึงทับแรต
542,100,ประชาสุขสันต์,ประชาสุขสันต์
543,100,ลานกระบือ,ลานกระบือ
544,100,หนองหลวง,หนองหลวง
545,101,ดูนสาด,ดูนสาด
546,101,น้ำอ้อม,น้ำอ้อม
547,101,บ้านฝาง,บ้านฝาง
548,101,หนองกุงใหญ่,หนองกุงใหญ่
549,101,หนองโก,หนองโก
550,101,หนองโน,หนองโน
551,101,ห้วยโจด,ห้วยโจด
552,101,ห้วยยาง,ห้วยยาง
553,101,หัวนาคำ,หัวนาคำ
554,102,เขาสวนกวาง,เขาสวนกวาง
555,102,คำม่วง,คำม่วง
556,102,ดงเมืองแอม,ดงเมืองแอม
557,102,นางิ้ว,นางิ้ว
558,102,โนนสมบูรณ์,โนนสมบูรณ์
559,103,ซับสมบูรณ์,ซับสมบูรณ์
560,103,นาแพง,นาแพง
561,103,บ้านโคก,บ้านโคก
562,103,โพธิ์ไชย,โพธิ์ไชย
563,104,กุดเพียขอม,กุดเพียขอม
564,104,ชนบท,ชนบท
565,104,โนนพะยอม,โนนพะยอม
566,104,บ้านแท่น,บ้านแท่น
567,104,ปอแดง,ปอแดง
568,104,วังแสง,วังแสง
569,104,ศรีบุญเรือง,ศรีบุญเรือง
570,104,ห้วยแก,ห้วยแก
571,105,ขัวเรียง,ขัวเรียง
572,105,ชุมแพ,ชุมแพ
573,105,ไชยสอ,ไชยสอ
574,105,นาเพียง,นาเพียง
575,105,นาหนองทุ่ม,นาหนองทุ่ม
576,105,โนนสะอาด,โนนสะอาด
577,105,โนนหัน,โนนหัน
578,105,โนนอุดม,โนนอุดม
579,105,วังหินลาด,วังหินลาด
580,105,หนองเขียด,หนองเขียด
581,105,หนองไผ่,หนองไผ่
582,105,หนองเสาเล้า,หนองเสาเล้า
583,106,กระนวน,กระนวน
584,106,คำแมด,คำแมด
585,106,คูคำ,คูคำ
586,106,บ้านโนน,บ้านโนน
587,106,ห้วยเตย,ห้วยเตย
588,107,กุดน้ำใส,กุดน้ำใส
589,107,ทรายมูล,ทรายมูล
590,107,ท่ากระเสริม,ท่ากระเสริม
591,107,น้ำพอง,น้ำพอง
592,107,บัวเงิน,บัวเงิน
593,107,บัวใหญ่,บัวใหญ่
594,107,บ้านขาม,บ้านขาม
595,107,พังทุย,พังทุย
596,107,ม่วงหวาน,ม่วงหวาน
597,107,วังชัย,วังชัย
598,107,สะอาด,สะอาด
599,107,หนองกุง,หนองกุง
600,108,โนนแดง,โนนแดง
601,108,โนนศิลา,โนนศิลา
602,108,บ้านหัน,บ้านหัน
603,108,เปือยใหญ่,เปือยใหญ่
604,108,หนองปลาหมอ,หนองปลาหมอ
605,109,แคนเหนือ,แคนเหนือ
606,109,ในเมือง,ในเมือง
607,109,บ้านไผ่,บ้านไผ่
608,109,บ้านลาน,บ้านลาน
609,109,ป่าปอ,ป่าปอ
610,109,ภูเหล็ก,ภูเหล็ก
611,109,เมืองเพีย,เมืองเพีย
612,109,หนองน้ำใส,หนองน้ำใส
613,109,หัวหนอง,หัวหนอง
614,109,หินตั้ง,หินตั้ง
615,110,โคกงาม,โคกงาม
616,110,โนนฆ้อง,โนนฆ้อง
617,110,บ้านฝาง,บ้านฝาง
618,110,บ้านเหล่า,บ้านเหล่า
619,110,ป่ามะนาว,ป่ามะนาว
620,110,ป่าหวายนั่ง,ป่าหวายนั่ง
621,110,หนองบัว,หนองบัว
622,111,โคกสำราญ,โคกสำราญ
623,111,โนนสมบูรณ์,โนนสมบูรณ์
624,111,บ้านแฮด,บ้านแฮด
625,111,หนองแซง,หนองแซง
626,112,ขามป้อม,ขามป้อม
627,112,เปือยน้อย,เปือยน้อย
628,112,วังม่วง,วังม่วง
629,112,สระแก้ว,สระแก้ว
630,113,ขามป้อม,ขามป้อม
631,113,บ้านโต้น,บ้านโต้น
632,113,พระบุ,พระบุ
633,113,พระยืน,พระยืน
634,113,หนองแวง,หนองแวง
635,114,เก่างิ้ว,เก่างิ้ว
636,114,โคกสง่า,โคกสง่า
637,114,โจดหนองแก,โจดหนองแก
638,114,โนนข่า,โนนข่า
639,114,เพ็กใหญ่,เพ็กใหญ่
640,114,เมืองพล,เมืองพล
